Branch_ID	Branch_Label	Branch_Dir	Flowchart	Input_File	Map_File	Samples_Total	Features_Original	Split_Ratio	Train_N	Test_N	Feature_Method	Knee_Method	Selected_Features	Use_LOOCV	LOOCV_Scope	Inner_CV	Outer_CV	Models	Best_Model_By_CE	Param_n_features	Param_feature_fraction	Param_tune_evals	Param_tune_batch_size	Param_feature_combine_method	Param_model_subset	Param_use_smote	Param_smote_k	Param_smote_dup_size	Param_seed
0.1	Con-LAEC 菌群	run_model_0.1_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_con_laec_246.txt	246	327	3/4	184	62	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	25	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.2	Con-LAEC 代谢组	run_model_0.2_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_con_laec_246.txt	246	1802	3/4	184	62	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	26	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.3	Con-LAEC 多组学	run_model_0.3_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_con_laec_246.txt	246	2129	3/4	184	62	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	20	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	FALSE	5	1	115702
1.0	临床基线	run_model_1.0_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	15	3/4	57	20	All_features_low_dimensional(n=15)	not_applicable_low_dimensional_all_features	15	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.1	临床 + NRT前菌群	run_model_1.1_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	301	3/4	57	20	MultiMethod_majority(boruta+rfe+xgboost)	default	10	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	adaboost	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.2	临床 + NRT前代谢组	run_model_1.2_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	1817	3/4	57	20	MultiMethod_majority(boruta+rfe+lasso+xgboost)	not_applicable_smote_high_dimensional	15	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	svm	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.3	临床 + NRT前多组学	run_model_1.3_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	2103	3/4	57	20	MultiMethod_majority(boruta+rfe+lasso+xgboost)	not_applicable_smote_high_dimensional	16	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	svm	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.4	临床 + 菌群差值	run_model_1.4_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	274	3/4	57	20	MultiMethod_majority(boruta+rfe+xgboost)	default	8	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.5	临床 + 代谢组差值	run_model_1.5_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	1817	3/4	57	20	MultiMethod_majority(boruta+rfe+lasso+xgboost)	not_applicable_smote_high_dimensional	17	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	adaboost	15	0.5	20	5	majority	all	TRUE	1	1	115702
1.6	临床 + 多组学差值	run_model_1.6_step2	TRUE	OTU_tax.xls	20260403_lilei/v0.2.2_inputs_corrected/map-group_nrt_response_77.txt	77	2076	3/4	57	20	MultiMethod_majority(boruta+rfe+xgboost)	not_applicable_smote_high_dimensional	12	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	adaboost	15	0.5	20	5	majority	all	TRUE	1	1	115702
