package	load_name	source_type	category	reason	next_action
GseaVis	GseaVis	github	upstream_install_failure	GitHub HEAD package fails lazy-load in R 4.6/Bioc 3.23: GseaVis cannot find object get_organism during namespace load.	Pin a compatible GseaVis commit or update GseaVis/clusterProfiler/yulab.utils compatibility before adding to reproducible full profile.
KEGG.db	KEGG.db	local_or_generated	local_or_generated	KEGG.db is not a standard CRAN/Bioconductor binary/source package in the current repositories; it must be generated or supplied locally.	Generate with createKEGGdb or provide a local KEGG.db_*.tar.gz, then install into R_packages_mobio/site-library.
linkXTS	linkXTS	existing_library	legacy_unknown	The package was discovered only from the old library snapshot and is not available from configured CRAN/Bioconductor/GitHub manifest sources.	Keep out of the reproducible package set unless a source tarball or upstream repository is identified.
mvtnormAPI	mvtnormAPI	existing_library	legacy_unknown	The package was discovered only from the old library snapshot and is not available from configured CRAN/Bioconductor/GitHub manifest sources.	Keep out of the reproducible package set unless a source tarball or upstream repository is identified.
org.testing.db	org.testing.db	existing_library	test_or_generated	Looks like a generated/test annotation package from an old library, not a public runtime dependency.	Do not require for normal analysis; provide local source only if a test workflow explicitly needs it.
qs	qs	cran;existing_library	upstream_deprecated_or_incompatible	qs is no longer available from the configured CRAN repository; archived qs 0.27.2 fails to compile against R 4.6 internals. qs2 0.2.2 is installed and supports MetaboAnalystR.	Migrate scripts from qs to qs2 where possible, or pin an older R/qs-compatible environment for legacy qs workflows.
RcppProgressArmadillo	RcppProgressArmadillo	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be an RcppProgress example/test package.	Exclude from reproducible runtime dependencies unless a local source package is supplied.
RcppProgressETA	RcppProgressETA	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be an RcppProgress example/test package.	Exclude from reproducible runtime dependencies unless a local source package is supplied.
RcppProgressExample	RcppProgressExample	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be an RcppProgress example/test package.	Exclude from reproducible runtime dependencies unless a local source package is supplied.
RStanTest	RStanTest	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be a package-development/test artifact.	Exclude from reproducible runtime dependencies unless a local source package is supplied.
testRcppAttributePackage	testRcppAttributePackage	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
testRcppClass	testRcppClass	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
testRcppInterfaceExporter	testRcppInterfaceExporter	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
testRcppInterfaceUser	testRcppInterfaceUser	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
testRcppModule	testRcppModule	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
testRcppPackage	testRcppPackage	existing_library	test_package	The package was discovered only from the old library snapshot and is an Rcpp test package.	Exclude from reproducible runtime dependencies.
translations	translations	existing_library	base_component_no_namespace	translations exists as an R component in some installations but has no R namespace, so loadNamespace() correctly fails.	Do not treat as an installable R package dependency.
vscDebugger	vscDebugger	existing_library	tooling_only	The package was discovered only from the old library snapshot and is IDE/debugger tooling, not an analysis runtime package.	Exclude from reproducible runtime dependencies unless VS Code R debugging is required and a compatible source is provided.
zigguserDirectC	zigguserDirectC	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be a zigg/example test package.	Exclude from reproducible runtime dependencies.
zigguserDirectCpp	zigguserDirectCpp	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be a zigg/example test package.	Exclude from reproducible runtime dependencies.
zigguserHeaderCpp	zigguserHeaderCpp	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be a zigg/example test package.	Exclude from reproducible runtime dependencies.
zigguserHeaderRcpp	zigguserHeaderRcpp	existing_library	test_package	The package was discovered only from the old library snapshot and appears to be a zigg/example test package.	Exclude from reproducible runtime dependencies.
zlibbioc	zlibbioc	existing_library	legacy_retired_or_unknown	The package was discovered only from the old library snapshot and is not available from configured CRAN/Bioconductor repositories for R 4.6/Bioc 3.23.	Keep out of the reproducible package set unless a source tarball or upstream repository is identified.
